Datetime,I,Quantile: 0.45decrease factor: 0.5,Quantile: 0.55decrease factor: 0.5,Quantile: 0.425decrease factor: 0.5,Quantile: 0.575decrease factor: 0.5,Quantile: 0.4decrease factor: 0.5,Quantile: 0.6decrease factor: 0.5,Quantile: 0.375decrease factor: 0.5,Quantile: 0.625decrease factor: 0.5,Quantile: 0.35decrease factor: 0.5,Quantile: 0.65decrease factor: 0.5,Quantile: 0.325decrease factor: 0.5,Quantile: 0.675decrease factor: 0.5,Quantile: 0.3decrease factor: 0.5,Quantile: 0.7decrease factor: 0.5,Quantile: 0.275decrease factor: 0.5,Quantile: 0.725decrease factor: 0.5,Quantile: 0.25decrease factor: 0.5,Quantile: 0.75decrease factor: 0.5,Quantile: 0.225decrease factor: 0.5,Quantile: 0.775decrease factor: 0.5,Quantile: 0.2decrease factor: 0.5,Quantile: 0.8decrease factor: 0.5,Quantile: 0.175decrease factor: 0.5,Quantile: 0.825decrease factor: 0.5,Quantile: 0.15decrease factor: 0.5,Quantile: 0.85decrease factor: 0.5,Quantile: 0.125decrease factor: 0.5,Quantile: 0.875decrease factor: 0.5,Quantile: 0.1decrease factor: 0.5,Quantile: 0.9decrease factor: 0.5,Quantile: 0.075decrease factor: 0.5,Quantile: 0.925decrease factor: 0.5,Quantile: 0.05decrease factor: 0.5,Quantile: 0.95decrease factor: 0.5
2022-05-20 09:00:00,494.5683,544.3121354128051,564.460215722296,536.5603953153259,571.6527023922531,533.2567956187064,580.4486788015903,527.5660026269063,588.6047755488104,520.8813859520277,595.8894641704896,513.7892192373994,601.2137486967905,502.8591905053156,604.8839165374087,491.8941938188749,608.504571303189,483.760862743166,615.3276629091965,470.7404206134968,618.3393097705228,460.226693616143,622.3865047903515,452.0966067716355,633.6812945724495,433.74505610929106,637.7294762618762,420.15831981399157,643.9641242276986,406.9210877136051,653.2952055906189,385.31444296320626,657.8038066465658,367.8769970845329,665.1456067908465
2022-05-20 09:15:00,617.9177,624.8451719195988,647.8686264014057,617.9176999999053,655.7256997037256,617.123708004263,667.7001070796407,613.6015056208753,678.3969681212994,607.12295580591,685.6484783061464,599.5977342573108,692.0558555073479,587.3552520787749,694.4611170787123,569.8728790151479,692.53548651558,557.2624086547441,696.1814461547733,541.2945010693675,695.924364819341,525.6439677262194,697.846657726197,519.4719872230146,709.0000397233824,503.36571078436816,712.2705282844098,485.78238507889824,712.5791788292158,470.78967580412836,718.3829108031375,442.936963574805,715.7620848251261,420.3468259572315,719.1115809572941
2022-05-20 09:30:00,575.7038,562.5922233833112,581.9783013692092,553.9264553564481,587.9998839791926,548.4798267506027,596.3564906295791,542.5186779206119,602.2177398887569,536.3066234409943,609.2357112781019,527.7325451889978,614.4177795832602,517.017354899483,618.9712940266004,510.32820857027315,627.1953996890143,503.6178505999934,636.4178404126837,491.9671687542067,640.8967697115218,483.52528024591754,647.7685656075912,474.5582546460782,657.6393970194945,454.9258970551788,659.6203308440412,446.67574852835406,670.4708778780179,436.1378351699095,681.7436716739214,418.61715619494146,688.557666314457,401.361460864343,696.4393275669289
2022-05-20 09:45:00,350.5509,646.2762841289085,667.8871937460214,637.8244804285824,674.326854838154,633.6589048607217,684.966273524263,628.8071948564437,691.7753689854503,622.3332415127637,698.0606609295129,612.6194992106466,703.6341720469235,600.6304326385879,707.0346223742386,590.0124075978484,712.3741959503976,579.8614999808561,718.7805374808793,565.6287686120057,720.2586323620079,553.7780754255457,725.9807654255742,546.0499407437496,735.5779932436251,526.4818430007189,735.3866605007272,517.0297801576401,743.8265739075979,505.40942758716227,753.0026625863894,482.8447186830417,755.0755778335874,460.3664084490202,756.4884320638399
2022-05-21 07:45:00,285.7668,218.60602072686268,229.04581496492347,211.85454661922304,236.37253369349264,206.22082894023038,240.63871852300835,195.93505701426247,247.8131197114475,192.0573707004223,251.62446591246635,190.50085370107317,256.0519630592243,187.09850016361617,262.5367453091879,184.32008439531785,266.583765402456,181.8182587087777,275.6733606969321,180.26449179929705,284.7718259128483,177.73587984112055,289.7564256737372,171.9562569826564,304.8610552550179,166.20018815366439,317.28117974350664,160.8851475388007,327.248454944218,151.03893640376293,343.4163448480045,140.41290271665798,367.79487221833654,138.04561910905406,417.16060053582925
2022-05-21 08:00:00,264.5135,299.10283124657514,310.60592810048195,292.5623778584949,317.9708245834021,287.1237125581834,323.00656529622046,277.7900639933914,330.15903361271796,273.1438394288396,334.7380205982667,270.6464237118573,338.9739606416153,265.4198049597552,345.8104614988139,262.06517668529995,350.6488163593629,258.77154415065735,359.8816497063382,255.00078806080728,368.12053796091527,251.346707172478,373.06569652428607,244.81661583044828,387.04835318700873,235.90728797411495,398.1048723019002,228.11587378371289,408.13184841208243,216.3056011750601,423.49856057748497,202.56068515057913,443.54701942107374,196.18892238734298,482.1900480132268
2022-05-21 08:15:00,312.3974,362.04312138702704,374.84438599394394,355.6062372439027,382.409105975787,350.13561576963957,388.11727680573335,341.3944983112249,395.2023442512618,336.27279220936776,400.2113042662467,332.6588781007116,404.54359083992887,325.9202917550215,411.27041451593664,321.5989919107781,416.68971778194486,317.9759466170385,426.07698371042244,312.39740000000444,433.4024987795937,307.9607160342565,438.27507106020164,300.77326553253846,451.6289711738072,289.7942354826199,461.14909177400403,280.46905806121634,471.50194719847775,267.55687364826366,486.20122905130245,251.05282598498445,502.76750025525513,242.24155544851052,534.0412191201204
2022-05-21 08:30:00,380.5468,344.3959621194628,356.84826347465736,337.71920020845585,363.9438777942304,331.3564079813102,369.7398459814396,323.0517808260754,376.40448399350095,318.4257040887137,381.7234368304975,314.52201807765204,386.46465538819126,308.25659697697427,393.24513712452347,304.8679826949858,400.09029273461755,302.00935826315833,410.337349736301,296.98665503782877,417.86316189926947,293.21944217480956,423.66415524348673,286.2232144514969,436.1298141584515,277.0779349655887,445.24004581963396,269.29894978305174,456.4449054613491,258.242043513256,471.4325152848735,243.11748172803235,487.2787626673092,236.75647463143687,522.2747989069173
2022-05-21 08:45:00,529.3929,392.96411229126096,406.38239134710824,386.18937530063425,413.4360957214557,379.5483710608791,419.7886426506217,371.8038481575378,426.22431091281976,366.93820216516696,431.88714739656825,362.09240058523994,436.8761115556459,354.71678486028713,443.67634340667473,350.9709174511552,451.436038676283,347.8914713948316,461.82709479616005,341.3935793769625,468.4948238115815,336.9927117481048,474.71535017300454,329.516811196934,486.2515077785466,319.5042798132383,494.04294192254326,311.5759848528708,506.03155747544844,300.14925708554676,520.7271367768731,283.79930819846015,533.8928627064485,275.7129738668408,562.8634833100938
2022-05-21 09:00:00,561.035,461.8881136333311,476.3157606456986,454.46986116251713,483.23772186570346,447.56576126790293,490.7307050238262,440.5957671816846,497.1043354291019,435.06855471660623,502.77118065489003,429.20279951767463,507.92611391225773,420.7094537427705,514.8490962784347,416.68566652023543,523.7426477303727,413.08327484066706,534.2000164814887,404.8804553463962,540.1095730391013,399.70636150895626,547.1181094648545,391.83341557299724,558.5160920631866,380.3413068732838,565.3104649797968,371.91262855884105,578.1790438839281,359.5101513983679,592.3526095905565,341.5991592533756,602.6609352016038,330.0984412556078,622.5806769175229
